mapudungun;espanol;ingles
mülekvuy ta machi;habia la machi;There was the Machi
ka müli ta medika;tambien la medica;also the doctor
re medica ka müli pu;solo medica habia tambien pues;only medical there were also
vemngechi lawen tuwkevuyngün;asi hacian remedio;Thus they remedied
vemngechi lawentuwkevuyngün;de esa manera se hacian remedio;In this way they were remedied
vey pichi keche;y los ninos chicos;and children children
akuayem mapumew;que llegan a la tierra;that come to earth
vey kidu engün ten püñeluwkebuyngün;ellos solos no mas tenian hijos;They alone had children
kidu müten llemay;solo no mas pues;Just no more then
kidu;solo;only
kisu;solo;only
mülekvuy ta kimlu  elkelu ta püñeñ;habia quien sabia hacer nacer un hijo;There were those who knew how to be born a child
kim dapial kom;hacerlo todos de eso;do it from that
kom llemay tachi;todo pues esto;All then
chew ta püñeñelngi ta tachi pu malen;donde tiene hijo esta pues hija;Where has a son because daughter
aso felewelay;asi no esta;That's not like that
aso felewelay amukaki;asi no esta se va;This is not going
doy ka tripachemu che;mas tambien donde sale la gente;But where people come out
vewla;ahora;now
aso aso;asi asi;so so
veley veley vey ka;eso eso eso tambien;That's that too
mapumu nentukevuy lawen;en la tierra sacaba remedio;On Earth I took a remedy
vill lawen tripakevuy mapumu;de todo tipo de remedio salia en la tierra;of all kinds of remedy came on earth
vill lawen vill vill;todo tipo de remedio todo tipo todo tipo;All kinds of all kinds
vill lawen vill lawen;todo tipo de remedio todo tipo de remedio;All kinds of remedy all kinds of remedy
tüfa llenoanta otubrey chi chaw;ahora no es que en octubre pues padre;Now it is not that in October because father
otubrey vey tüfa küpali ta lawen;octubre este trae remedio;October this brings remedy
doy pewvaluwi;mas se muestra;But it is shown
meno ko mew vey rayikingün tati;en el menoco ahi florecen pues;In the menoco there they flourish then
kiñeke ta nieki ta kallfü rayen;a veces tiene;Sometimes it has
kiñeke nieki ta lig;a veces tiene blanca;Sometimes it has white
rosaw rayen ngetukeyngün;flores rosadas tenian;Pink flowers had
vünki kütu nuan ta lawen chaw;tenian hasta fruto el remedio que se iba a escoger padre;They had the remedy to choose a father to fruit
vünki ka vey;este tambien daba fruto;This was also fruitful
müna vünki ta lawen;daba mucho fruto el remedio;The remedy was very fruitful
vey otubre tüva chem pingeki;en octubre esto se dice;In October this is said
ta küyen mapuche mew;en el año mapuche;In the Mapuche year
walün nuanchi;en la cosa no es pues;In the thing it is not therefore
walüng pingeke vuy;en la cosecha sedecia;In the sedecia harvest
walüng;en la cosecha;In the harvest
walüng pingi ta;en la cosecha se dice esto;In the harvest this is said
ta walüng;en la cosecha;In the harvest
welu kiñeke ka pewü ka;pero a veces tambien en primevera;But sometimes also in Primevera
kake ka üy ni ka;en distintos nombres tambien;In different names too
ka chem üy müli;que otros nombres hay;that other names are
pewü pingi ta otubre;primavera se le llama a octubre;spring is called October
veyta chi noviembre kuru pewü pingi;este pues en noviembre primavera negra se le dice;This because in November black spring is told
kurü pewü;primavera negra;Black spring
kurü pewü;primevera negra;Black Primevera
chumngelu chi pewü pingi;por que se le dice primavera;Why is spring
chew kom ta pewü ki ka;todo brota pues tambien;Everything sprouts then
pewü ki ta kallwe anümka;suelen bratar las plantas;They usually pour plants
pewüki ta lawen;brotan tambien los remedios;Remedies also sprout
pewüki ta kom;brota todo;Everything springs
kom pewüki;todo brota;Everything springs
veymu ta pewü pingeki y;por eso se le llama primavera y;That is why it is called spring and
walün pi ta taiñ mapuche ngen;en el verano decimos nosotros los mapuches;In the summer we say the Mapuches
walüng itrofill akuy;en el verano todo llega;In the summer everything comes
tukun akuki;lo que se siembra llega;What is sown arrives
tukun müleki;lo que hay en la huerta;What is in the garden
ta awar müleki;tambien hay habas;There are also beans
ta allvida akuki ta poñü;llegan la arvejas las papas;The potatoes arrive
müleki ta tukukan;hay huertas;There are orchards
kom küpaki itro vill;llega de todo;It comes from everything
veymu llemay ta walüng;por eso pues es primevera;That is why it is primevera
piki ta che tati chaw;dice esto pues padre;Says this because father
veymu;por eso;so
vey  chumngelu chi ka;y por que sera que;And why it will be that
kuyvi  doy kümeke foro niekevuy che;antes mejor diente tenia la gente;Before the best tooth, people had
pichikeche o pütakeche;los chicos yo los mayores;the boys I the elders
rume llankükelavuy tañi voro;se me caian muchos los dientes;I got many teeth
chumnelu chi veula niewelay voro che;por que sera que ahora no tiene diente la gente;Because it will be that people now have
müna llanküki voro;se le cae mucho los dientes;His teeth drops a lot
chemu iyagelmu kam;con que con la comida;With that with food
no;no;not
chemu chi;como sera;as will be
kümeke voro ngeki che;buenos dientes tiene la gente;good teeth have people
ikefi chi newen ngeluam;come lo que se tiene que tener fuerza para comer;eat what has to have strength to eat
mapu müleki tachi wa;el la tierra hay este maiz;The Earth is this corn
müna kümelkaleki chi wa tati;esta muy bueno el maiz pues;The corn is very good, then
üngül tukuneki ñi fün;se echa a hervir;boil
vey vey ünatuy;ahi ahi lo muerde;There he bites it
vey ka vemngechi inanentuki ñi voro;ahi tambien asi saca su diente;He also gets his tooth so
pütra ke wamu;con los maices grandes;With the big maies
pütrüke tremfuy kay wa;crecian mucho los maices;the maices grew a lot
veley;asi es;that's how it is
unepalu kolü;los primeros que se colocan de colores;The first ones that are placed in colors
kolüweki ñi payun payun wa;se pone rojo so barba la barba de el maiz;The beard of El Maiz gets red be a beard
vey vey;eso eso;That
vey ikefingün;ahi lo comian;There they ate it
cheman tachi wa;que el choclo;than the corn
wa;el choclo;the corn
wa llemay tukungeki ta mapumu;el choclo pues se coloca en la tierra;The corn is placed on earth
iyagel;para comer;To eat
yagel;para comer;To eat
iyagel vey;para comer eso;To eat that
pichi wa ka müday ngeki pu;los choclos pequeños se hacen bebida mapuche pues;The small choclos are made Mapuche drink because
müday;bebida mapuche;Mapuche drink
chefkü ngeki  rüngo;se sirne la harina;Flour is signed
ngeki mürke;se hace la harina;Flour is done
ngeki itrofill ka ngeki;se hace a todo tambien se le hace;It is done to everything too
vey wa vey ka vey lawen;el choclo ese tambien el remedio;The choclo also the remedy
kungeki ka vey;se hace agua tambien eso;Water is done too
ka vey ka lawen ngeki;tambien este remedio tambien se hace;This remedy is also done
ka lawen ngi;tambien remedio se hace;also remedy is done
pütrüke konkefuy ta wa kuyvi;harto entraba el choclo antes;fed up the corn before
pütrüke konkevuy;bastante entraba antiguamente;It quite entered formerly
vey vantepumuam;esto ahora;This now
ngewenolu che chaw;como no hay gente padre;How are there no father people
femngefuy kimwa a;asi;So
kimimi ka chaw;sabe tambien padre;He also knows father
kimlavin;no lo conozco;do not know him
vey llemay kinwa;esa es la quinoa pues;that's the quinoa well
tüva vantupu ngewelay tati kinwa;por aqui no existe  la quinoa pues;There is no quinoa here well
chem vel;que es;What is it
iyagel ka;comida tambien;food too
vey pu;eso pues;that then
muday ngeki lawen;se hacia bebida y remedio;Towed and remedy
ngeki ta ka;se hace tambien;It is done too
ka vey;eso tambien;that too
kinwa müna kümi müdayünmu;quinoa es muy bueno para hacer bebida;Quinoa is very good to drink
pu kinwa;la quinoa;The quinoa
vemngechi;es asi;It is like that
tukun kutu lawen mawkevuy;se hechaba hasta en los remedios;was done even in the remedies
lawen mawkevuy;se hacia hasta remedio;It was even remedy
eymiam ramtupelu kimavin;usted que pregunta lo voy a saber;WHAT QUESTION I WILL LEAVE IT
pipimi chi wa;digiste por el choclo;you digusted
vey ñi yavü voro ngeken che;de los dientes fuertes que tenia la gente;of the strong teeth that people had
vey pütrake wa pu;como los dientes grande de los choclos;Like the big teeth of the choclos
inayentukefi tachi wa;lo saca de estos choclos;He takes it out of these choclos
ta chumlen wa kay;como esta el choclo pues;how is the corn then
müna kümelkali veychi;estaba muy bueno eso;That was very good
voro ünatuki;con los dientes los muerde;With teeth bites them
vey yavü voro ngeki che;por eso tiene los dientes fuertes la gente;That's why people have strong teeth
tüva anta müte amul watukerki ta che;ahora hoy no come muvho choclo la gente;Now today people do not eat so
rume alün ngüneluwün;mucho;much
niekevuy mapuche pingi;tenia el mapuche se dice;had the Mapuche is said
kuyvi feyngepi tüvey;esto seria asiantes;This would be asiants
feyngi ka;asi debe haber sido;so it must have been
veyngi;asi fue;That's how it went
feyngi llemay;asi fue pues;So it was
veymu kidu engün mongeluwkevuyngün;por eso solo ellos se hacian vivir;That's why only they lived
kakiñe ramtun nien tüva;tra pregunta tambien tengo;bring I also have
vewla  pichikeche;ahora los ninos chicos;Now the children
pütakeche rume;la gente grande siquiera;big people even
niewelay ta kümeke nge pelon;no tiene buena vision;It has no good vision
lente tuletuki vewla;tiene lente ahora;It has lens now
chumngelu chi kuyvi pütakeche pingi;por que sera que antes la gente mayor se dice;because it will be that before the older people are said
vemlekelavuy;no estaba asi;It wasn't like that
niekevuy vente küme nge;tenia muy buena vista;I had very good view
pelokevuyngün kimlaymi tüvi;veian bien no sabe esto;They saw well does not know this
chumnelu vel;por que sera;why it will be
kuyfi may chaw;antes pues padre;Before father
kuyvita che pingi;antes le gente se dice;Before people say
pütrake püliwen witray;muy temprano se levantaba;Very early he got up
narpachi wün mew;cuando empezaba el dia;When the day began
inche ta ka vey chi nawpachi wün mu;yo tambien al comenzar el dia;I also start the day
witrakevun;me levantaba;I got up
vey tuy küme küme kürüf;asi toca muy buen viento;Thus it plays very good wind
fiskü kürüf trelüngi lonko y;viento fresco recibe la cabeza y;Fresh wind receives the head and
feymu penow;por eso de ser;That's why being
küme nge niekevuy che chaw;buena vista tenia la gente padre;Buena Vista had the father people
püliwen;en la mañana;in the morning
puliwen;en la manana;in the morning
petu tañi tripapanon antü petuno;antes que salga el sol todavia no sale;Before the sun rises, it still does not come out
petuno;cuando todavia no sale;When it still does not come out
petu ta amuy ta külliüwtumealu;todavia va a lavarse;It will still be washed
re komew kuyvi ke cheam;con pura agua la gente antigua;With pure water old people
ini rume petu trekantunolu ko;nadie aun cuando no camina en el agua;nobody even when you don't walk in the water
veymu külliüwtumiaymi;por eso se anda lavando;That's why he is washing
veymu vey kutranlayaymi;por eso no te vas a enfermar;That's why you're not going to get sick
pilümkevuy ta pütakeche;se ponia sorda la gente mayor;The older people were deafed
veula iniam vi memay petu;ahora quien hace este todavia;Now who does this still
ñi trekantumenol ko;de ir al agua asi no mas;to go to the water no more
küllümtumeay vemlay pu chaw;de ir a lavarse no hace esto pues padre;to go to wash does not do this because father
femlay;no hace eso;Does not do that
eñum komu küchakelavuy ñi ange engün;con agua calentita se lavaban la cara;With warm water they washed their face
re fiskükomu;solo con agua fresca;Only with fresh water
firkü firkü;fresca fresca;fresh fresh
firkü;fresca;fresh
veymu pe rume kümeke kintun niekevuyngün;si es por eso buena vista tenian;If that's why good view they had
rume kümeke kintun nieki ngün;muy buena vista tenian;very good view they had
tüfa ta vemwelay che;ahora no hace esto la gente;Now do not do people
pelowelay newe amulay rume;no ve no ve desde lejos siquiera;You don't see does not see even
ñi witrintun engün;a su alrededor;around it
veleyka;asi es esto;so is this
viskü komu kallumtu;con agua fresca;With fresh water
küchay muy muy ange;se lavaban sus caras;their faces were washed
vey küme ngeli;asi estaban bien;So they were fine
vey ka müli tüva;aqui hay tambien;Here is too
müna wesa ligki tañi lonko ta che;esta muy mal la cabeza de la gente;People's head is very bad
kuyvi vemkelavuy pingi;antes no le pasaba esto se dice;Before this happened to him, it is said
chumeluchi vente ligi lonko;por que sera que se coloca muy blanca la cabeza;because it will be that the head is placed very white
vewla mülepevuy;ahora habra;now there will
ngüneluwün tüvey ka vey;dominio esto tambien esto;Domain this too
kuyfi ta mülefuy ta ngüneluwün;antes habia  el;Before there was the
tichi mülekevuy tachi fay;esto habia aqui pues;This was here then
wüllen kiñeptra metawemew;orina en un cantaro grande;Urine in a big singing
vey vayümngi chi willen;se deja fermentar la orina;Urine is allowed to ferment
feymu ta küchay tañi lonko ta che;con eso se lavaban el pelo la gente;With that people werehed their hair
küchakunumeki lonko;se lavaban el pelo;They washed their hair
vey visküy liglay tüva;con esto se refreca y no se pone blanco este;With this it is reinforced and this is not put white
mari kechu tripantu müten ni che;trece anos tiene no mas la gente;thirteen years have no more people
chew ta küchafi ta katripache;las personas de antes;People before
veymu küchafi y;por eso se lavaban y;That is why they were washed and
kuyfi femlay willen müten;antes no hacian con orina no mas;Before they did not do no more
fisküy müna küme visküm;se refrescaba se refrescaba muy bien;It was refreshing was cool very well
ka kunungi lonko tüfa ta femlay;tambien toda la cabeza ahora no hace eso;Also all the head does not do that now
re willen mu küchay ñi lonko;solo con orina se lavaban la cabeza;Only with urine their head was washed
re willenmu;solo con orina;Only with urine
küchaki tachi lonko tati chaw;la cabeza pues padre;The head then father
ngelavuy ta kavon omu;no habia jabon omo;There was no soap omo
ngelay pu ngelay pu;no habia pues no habia pues;there was no case therefore
winka ñi küchawkemu ngelavuy;con lo que el huinca se lavaba no habia;with what the huinca washed
kuyvi ka inche;antes yo tambien;Before me too
kimpan lel wütrintuken vemngechi;vini a saber asi;vini to know like this
kupil ngi tachi küde ke uvicha;se amarraban las avejas viejas;Old birds were tied
fey wütruymangi tachi kal;y se le quitraba su lana;And his wool was removed
femngechi küchanentungekefuy tachi;asi se lavaban estas lanas;Thus these wool were washed
tachi wesakelu taiñ tukupel ta che;esas ropas que usa la gente;those clothes that people use
lifkevuy welu chaw;pero se limpiaba pues padre;But he was cleaned then father
veychi;eso;that
ngekeperkalavuymay ta kavon perke;no debe haber existido el jabon aun;There should not have been soap yet
vemngechi;de esa manera;that way
ferü kal pingi tati;lana se dice pues;wool is said then
liftuwkevuy;se limpiaba;It was cleaned
vewla ngewelay vey;ahora no hay eso;Now there is no that
ngewelay;no hay;There is not
veley veley;esta bien esta bien;Okay okay
vey ka kiñe kutran müli;eso tambien una enfermedad hay;That is also a disease
tüfa mongenmew tüva;aquien la vida aqui;Here life here
kiñekemu ta pelmu kutranki che;a veces la garganta le duele a la gente;Sometimes the throat hurts people
ka chumngelu chi vemki;tambien por que sera que hace;also because it will be
ka mülepi ngüneluwün ta;tambien debe haber dueno;There must also be dues
chemlu tañi pel tüvamu;como que hace asimi garganta;as does equal throat
kiñekemu ta moletaki pel;a veces molesta la larganta;Sometimes the long time
kutranki welu;pero duele;but it hurts
kutranki ta pel ta eñumkülelu ta kürüf tulu;duele la garganta cuando esta calinte y recibe aire fresco;The throat hurts when it is hot and receives fresh air
kürüfmu;viento;wind
kürüfmew;cuando pasa frio;When it goes cold
petu eñum iyagel ilu chem rume;cuando esta caliente por la comida;When is hot for food
fiskü famtukutuy;fresco lo tomaba;Fresco took it
tukukan rume petu katrükangi;la siembra aun no se a cortado;Sowing is not yet cut
vemngechi anüli che;asi va la gente;So are people
ta veyta küpa llikay;este se asusta;This is scared
vey vamkoni vamtukuy;ahi se hace un lado;There she turns a side
veymu llemay;por eso pues;That's why
taveyta kutrantuki tachi pel;por eso es que duele la garganta;That's why the throat hurts
tachi chaw;por esto padre;That is why Father
veymu kutrani pel;por eso duele la garganta;That's why the throat hurts
mülepi ngüneluwün notual vey;debe haber algo que haga que pase esto;There must be something that makes this happen
mülellimay müley;hay pues hay;There is therefore
vey val val lutukawi che;siente como una burbuja la gente;feel like a bubble people
val val tuy lawen mew;burbuja con el remedio;Bubble with the remedy
fürechi lawen mew;con un remedio fuerte;with a strong remedy
veyta rupay tati;este pasa pues;This happens then
ini pingi chi lawen vey fürelu;como se llama el remedio fuerteamargo;What is the name of the strong remedy
chi lawen chi fürelu folil natrüng pingi;este remedio que es amargo folil natrung se llama;This remedy that is bitter folil natrung is called
folil natrüng;folil natung;Folil Natung
vey chem lawen;y que remedio;and what a remedy
mamüll lawen;remedio de palo;Palo remedy
kachu lawen tüfi;remedio de pasto este;this grass remedy
ti chi lawen mayta mamüll lawen tati;este remedio es un remedio de palo pues;This remedy is a stick remedy because
chew pengeafuy;donde se encontraria;Where it would be
feyta kintule pele che;esto si se buscara la gente y lo encuentre;This if people were looking for and find it
uwamle müleki;donde hay;where there is
mallinmu kam müleki;en el mallin o tambien hay;In the mallin or there are also
küllegmew kam mawisa mew;ewn la primavera o en la montana;Ewn La Primavera or Montana
vemlay mülekelay;no es asi no hay;It is not so there is no
mallinmew tichi folil natrün;en el mallin la raiz del natrun;In the mallin the Natrun root
tripaki ta winkulmew;sale en el cerro;Sale on the hill
winkulmew;en el cerro;on the hill
winkulmew tichi folil yemengey;en el cerro esta raiz se va a buscar;In the hill this root will look for
katrüka ngi;se corta;It is cut
vey waskümngi;despues se hirve;then it wishes
fey dew wasküy;despues que hierve;After it boils
vey li chi tapanan kunungetuy;ahi se tapa;There you cover
fey newen ngi pi ta füchakeche;asi con fueza dice la gente mayor;Thus, the older people say
tripanolu tañi mütrol tripanolu;lo que no sale que al sacudirlo no sale;What does not come out that when shaking it does not come out
vey eñumtukunewi;ahi se hierve;There is boiled
ella küme dewma firkülewey;cuando ya esta bien frio;When it's very cold
vey val valutuy che tati chaw;y asi se lo bebe la gente pues padre;And so people drink because father
veytachi veytachi elngelu;a este que le dan;to this one who give
pelmu kümelu tati;para la garganta es bueno pues;For the throat it is good then
vemuechi;asi;So
vemngechi;asi;So
poñi vente kümeke lawen;poni es muy buen remedio;Poni is a very good remedy
ta wülkerkevuy ta mapuka;daba tambien la tierra;also gave the earth
rumey maw ka;cuando se estaba muy mal tambien;when it was very bad too
alün lawen wüli mapu;hartos remedio daba la tierra;fed remedy gave the earth
rumey maw kuyvi inche;pasaba mal la gente antes;people had a bad time
kimpan chaw;vine a saber padre;I came to know father
vemngechi chemu chi;asi de que manera pues;So how
küchakevuy lonko che;se lavaba la cabeza la gente;People washed their heads
pipellelaymi ama;decias pues;you said then
veley;por supuesto;of course
vey yemekevuy tichi mongo;ahi se iba a buscar el mongo;There was going to look for the Mongo
pütake foki kechili;era como enredadera;It was like vine
püray wenu wallemu;subia arriba en el hualle;Up on the Hualle
chemu rume püray;en cualquier parte subia;anywhere
wechukevuy;subia;Subia
vey witranan ngi;por eso se tiraba;That's why he threw himself
yüfküki kavon reke trorfanki;al refregarlo parecia como jabon hacia espuma;When reinforcing it, it seemed like a soap towards foam
feymu küchakevuy lonko inche;por eso se lavaba la cabeza la gente;That's why people washed their heads
vemngechi liftuwkevuymün;asi se limpiaban;Thus they cleaned
müna küme lifkevuy welu voke ka;pero limpiaba muy bien tambien la enredadera;But it was very well cleaned the vine
pütrake voki;grandes enredadera;great vine
vey yüfküpaketuvuy ñuke;la mama;The breast
vey küchange;ahi lavate;ahi lavate
tami lonko tamew pikevenew;tu cabeza con esto me decia;Your head with this told me
veymu penow trürelkallenmay;por eso debe ser;That is why it must be
welu petu kurüli lonko inchepu chaw;pero todavia esta negro mi pelo padre;But there is still black my father
veleyka veley llemay;asi esta pues asi esta;So this is so
veychichi pütrake anüm;por eso a lo mejor es grande;That is why it is great
kalwe lawen mew;el kalhue remedio;The Kalhue Remedio
vey küchakevuy lonko;con eso le lavaban la cabeza;With that they washed his head
pengeavuy chew vewla veychi lawen;se encontraria este remedio ahora;This remedy would now be
uw mülefuy mayta;puede haber ahora;There may be now
pütrake mawidamu;en las grandes montanas;In the great montanas
tüva vantepu mu pengewelay;ahora no se encuentra;now not found
veychi lawen pu;este remedio pues;This remedy then
mülevuy mawida;habia en las montanas;There were in the Montanas
vewla tachi mongenmew;ahora en la vida;now in life
kam ngewelay;o no hay;or there is no
müte ngewelay tati chaw;no hay mucho de esto padre;There is not much of this father
ngewelay ka vey ka;no hay de esto tampoco;There is not this either
müte ngewelay;no hay mucho;there is not much
müleluam tachi konpalu anta winka;como hay en toda parte huincas;As there are huincas in every part
tañi anümka;sus plantas;its plants
feymu llemay ta lefi;por eso pues esta asi;That is why this is like this
ngewetulay rume;no hay siquiera;There is not even
ta müte ngeweturkian ta ko rume wüfko;no hay mucho agua en todas partes;There is not much water everywhere
ngewelay;no va quedando;It is not staying
veymu tachi lawen veyta lefi;por eso este remedio se perdio;That is why this remedy was lost
vey  anküy kon ka ngewelay;este se seco ya no hay todo;This is dry there is no longer
mawida pingeki;en la mantana se dice;In La Mantana it is said
chumngelu akulu pinu;por que llegaron los pinos;Why did the pines arrive
kaliptu vemngelu;eucaliptus que son asi;eucalyptus that are like this
feymew veymew llemay;por eso por eso pues;That is why then
vey mew ka veyta;por eso aqui tambien;That is why here too
impolngepimayta mawida;se lleno la montana;The montana is filled
lüpümtukungepi feywüla;se quemo ahora;I burn now
vey ka anümelngetuy ka anümka;asi tambien avanzan las plantaciones;So plantations also advance
feyllemay;asi pues;so that
müliki tati müleki müleki;hay esto hay hay;THERE IS THERE THERE IS THERE
veyta venten lawen ta mülekerkevuy;el remedio que esta a la vista habia;the remedy that is in sight had
kuyvi ka;antes tambien;before too
alün;bastante;quite
alün lawen;harto remedio;Fed remedy
pütrün;harto;Fed up
pütrün lawen;muchos remedios;Many remedies
veley chi maychi veley chi maychi;asi es esto pues asi es esto pues;This is this because this is this then
pütrüken lawen;muchos remedios;Many remedies
inche tañi mapu;en mi tierra;in my land
chew müli tani ñuke;donde esta mi madre;where is my mother
pütrükelevuy ta lawen;habia mucho remedio;There was a lot of remedy
ngemekenoluam inche veypüle;como yo no estaba por ahi;As I was not there
vey müli ta veypüle;habia por ahi;I had there
ta küla tapül pingi ta lawen;tres hojas se llamaba el remedio;three sheets was called the remedy
ta ka trafen trafen pingi;tambien habia trafen trafen que se llamaba;There were also a trapen what was called
chavo lawen pingi;remedio para el resfriado se dice;Remedy for cold is said
feypüle wayo ka tachi mapu;por ahi  tambien en esta tierra;there also on this earth
veyta chi mapu;en esta tierra;In this earth
ta malal kawellu pingi tati;que se llama malalcahuello;called Malalcahuello
malal kawe;malalcahue;Malalcahue
malal kawellu pingi;malacahuello le llaman;Malacahuello calls him
chew müli tachi lawen;donde hay este remedio;Where is this remedy
pütrükeli fantepumu ka müte;habia harto ahora no mucho;I had fed up now not much
küme kimwetulafin chi lawen;no conosco mucho el remedio;I don't know the remedy much
pefili kimkapelayafun;si lo viera quizas lo conoceria;If I saw it, I would know him
ka tichi weñkü pingi;tambien este huencu se le llama;This huencu is also called
ka rume lawen ngi;tambien es un buen remedio;It is also a good remedy
tachi mapu malal kawellu pingelu rume ni lawen;en la tierra malalcahuello que le llaman hay mucho remedio;In the Earth Malalcahuello that calls him there is a lot of remedy
mawida entüngi;en la montana se saca;In La Montana it takes
velepemay;que sea asi;May it be like that
ka tichi meno komu;tambien en el menoco;Also in the menoco
tripaki tichi chaku yiwiñ pingi tati;sale este pasto llihuin se le llama pues este;This pasture is called this
chaku lliwiñ veytachi trekawenolu;pasto llihuin donde se camina;Llihuin Pasto where you walk
veymu küchaki namun;con eso se lavan los pies;With that the feet are washed
pingeki tati chaw;se dice pues padre;It is then said father
chemantachi vey mamüll kam kachu;que es esto un palo o un pasto;What is this a stick or a grass
kachu lawen;remedio de pasto;Pasto remedy
kachu;pasto;grass
vey trafen trafen kay kachu kam mamüll;el trafen trafen es un pasto o un palo;The Traphen Trafen is a grass or a stick
trafen trafen ta mamüll;trafen trafen es un palo;Trafen Trafen is a stick
chumal vey tapül kümi kam volil;que es bueno la hoja o la raiz;That the sheet or the root is good
tapül müten;la hoja no mas;The sheet no more
tapül pütokongeki;la hoja se toma;The sheet is taken
fey trafen trafen;el trafen trafen;The trapn traphen
fey trafen trafen;ah;ah
trafen trafen;trafen trafen;Trafen trapen
ngüllfüwki müten che;se amarra no mas la gente;No more people are tied
ngüllfüwki;se amarra;It is tied
ngüllfüwki müten;se amarra no mas;It is not more
vey chem kutran nielu femki;que enfermedad tiene cuando hace eso;What a disease does that do that
tichi trafentulelu;cuaando esta poseido por una fuerza negativa;How is it possessed by a negative force
trafentulelu;cuando esta poseido por una fuerza negativa;When it is possessed by a negative force
chemanta;a que se le llama;what is called
trafentu pingi;que este poseida por una fuerza negativa;that is possessed by a negative force
trafentu pingi;fuerza negativa se le llama;negative force is called
ta amuyawkechi wedake kürüf ta pun ka;cundo anda mal espiritu aire malo en la noche tambien;when bad spirit is bad at night too
trafielu;cuando encuentra;When he finds
trafielu ka trafiey;cuando lo encuentra tambien cuando lo encuentran;When you also find it when they find it
ta rüpümu trafiey;cuando pasa lo encuentra;When it passes it
feymu trafentu pingetuy;por eso se llama fuerza maligna;That's why it's called evil force
veychi kutran traventu pepiafuy;esta enfermedad de fuerzas negativas;This negative forces disease
lawen pitalmu kam müli lawen;encontraria remedio en el hospital;would find remedy in the hospital
ngekelay;no hay;There is not
ngekelay trafen müli ta mapumu;no hay para la fuerza negativa hay en la tierra;There is no for the negative force there is on earth
adümelngi lawen ka;se sabe remedio tambien;Remedy is known too
fey datungi;este se le hace rogativa;This is made rogative
vey mongeki tichi ka tripan may;ahi vive este tambien donde sale pues;He also lives where he also comes out then
katripachemu mongepüdalay;en otras gente no habria vivido;In other people they would not have lived
penole lawen katripachemu;si no encontrara remedio en otras personas;If I did not find remedy in other people
vey  inawtuperkiavuy vey;este habria seguido esto;This would have followed this
femllavuy may;eso habria hecho pues;That would have done then
mongelayavuy;no habria vivido;He would not have lived
veley llemaychi;asi es pues;That's right
venten falin nierkevuy ta mapu;mucha importancia tenia la tierra;Much importance had the earth
ta lawen ngekerkevuy kuyvi;remedio tenia antiguamente;Remedy had formerly
vey vewla chumngechi ta;esto ahora por que sera;This is now because it will be
aftuy ta lawen;que se termino el remedio;that the remedy ended
ka vemngechi ta petu aftuy kimün;tambien asi se esta terminando la sabiduria;Also, wisdom is ending
pin ngütram müleki veyngepi;se dice en las conversaciones que era asi;It is said in the conversations that was like that
vey kuyvi;esto ante;This before
